file_path,open_file,file_name,owner,extension,size,modification_time,access_time,creation_time,parent_directory,permissions,is_file,is_symlink,absolute_path,metadata
tests\conftest.py,False,conftest.py,AD/BLUO,.py,718,1707158590.163458,1709231390.9588873,1705332838.3702419,tests,666,True,False,C:\Users\BLUO\Downloads\report\tests\conftest.py,{'message': 'File was not opened'}
tests\directory_analytics_test.py,False,directory_analytics_test.py,AD/BLUO,.py,1790,1707156577.8379848,1709231311.2927098,1705423534.9359689,tests,666,True,False,C:\Users\BLUO\Downloads\report\tests\directory_analytics_test.py,{'message': 'File was not opened'}
tests\directory_report_test.py,False,directory_report_test.py,AD/BLUO,.py,8606,1709209133.1342926,1709231429.5038428,1705332838.3739834,tests,666,True,False,C:\Users\BLUO\Downloads\report\tests\directory_report_test.py,{'message': 'File was not opened'}
tests\directory_similarity_test.py,False,directory_similarity_test.py,AD/BLUO,.py,3561,1707156577.8441813,1709212633.664472,1707156577.8441813,tests,666,True,False,C:\Users\BLUO\Downloads\report\tests\directory_similarity_test.py,{'message': 'File was not opened'}
tests\test_audio_processor.py,False,test_audio_processor.py,AD/BLUO,.py,4941,1707311603.3081613,1709212633.6775393,1705332840.637034,tests,666,True,False,C:\Users\BLUO\Downloads\report\tests\test_audio_processor.py,{'message': 'File was not opened'}
tests\test_corrupted_files.py,False,test_corrupted_files.py,AD/BLUO,.py,1879,1707158346.89567,1709212633.6855361,1705332840.6390274,tests,666,True,False,C:\Users\BLUO\Downloads\report\tests\test_corrupted_files.py,{'message': 'File was not opened'}
tests\test_csv_processor.py,False,test_csv_processor.py,AD/BLUO,.py,1900,1707158340.6514156,1709212633.6945455,1705332840.6420133,tests,666,True,False,C:\Users\BLUO\Downloads\report\tests\test_csv_processor.py,{'message': 'File was not opened'}
tests\test_docx_processor.py,False,test_docx_processor.py,AD/BLUO,.py,2650,1707158357.788374,1709212633.700552,1705332840.6440065,tests,666,True,False,C:\Users\BLUO\Downloads\report\tests\test_docx_processor.py,{'message': 'File was not opened'}
tests\test_file_similarity.py,False,test_file_similarity.py,AD/BLUO,.py,1513,1707491589.483745,1709212633.7075655,1707315435.0279548,tests,666,True,False,C:\Users\BLUO\Downloads\report\tests\test_file_similarity.py,{'message': 'File was not opened'}
tests\test_generic_processor.py,False,test_generic_processor.py,AD/BLUO,.py,1695,1707156577.9161782,1709212633.7129858,1705332840.6460004,tests,666,True,False,C:\Users\BLUO\Downloads\report\tests\test_generic_processor.py,{'message': 'File was not opened'}
tests\test_gif_processor.py,False,test_gif_processor.py,AD/BLUO,.py,1705,1707158393.6289494,1709212633.7179868,1705332840.6489892,tests,666,True,False,C:\Users\BLUO\Downloads\report\tests\test_gif_processor.py,{'message': 'File was not opened'}
tests\test_heic_processor.py,False,test_heic_processor.py,AD/BLUO,.py,1523,1707158401.5838773,1709212633.725115,1705332840.6509829,tests,666,True,False,C:\Users\BLUO\Downloads\report\tests\test_heic_processor.py,{'message': 'File was not opened'}
tests\test_html_processor.py,False,test_html_processor.py,AD/BLUO,.py,1395,1707158365.012669,1709212633.7319865,1705332840.6519792,tests,666,True,False,C:\Users\BLUO\Downloads\report\tests\test_html_processor.py,{'message': 'File was not opened'}
tests\test_jpeg_processor.py,False,test_jpeg_processor.py,AD/BLUO,.py,1523,1707158248.7118435,1709212633.7379866,1705332840.6539726,tests,666,True,False,C:\Users\BLUO\Downloads\report\tests\test_jpeg_processor.py,{'message': 'File was not opened'}
tests\test_json_processor.py,False,test_json_processor.py,AD/BLUO,.py,1646,1707158374.3611226,1709212633.7439878,1705332840.6559658,tests,666,True,False,C:\Users\BLUO\Downloads\report\tests\test_json_processor.py,{'message': 'File was not opened'}
tests\test_msg_processor.py,False,test_msg_processor.py,AD/BLUO,.py,1983,1707158410.31112,1709212633.75003,1705332840.6579595,tests,666,True,False,C:\Users\BLUO\Downloads\report\tests\test_msg_processor.py,{'message': 'File was not opened'}
tests\test_ocr_decorator.py,False,test_ocr_decorator.py,AD/BLUO,.py,2402,1709209133.1382902,1709231429.5143924,1705332840.6589558,tests,666,True,False,C:\Users\BLUO\Downloads\report\tests\test_ocr_decorator.py,{'message': 'File was not opened'}
tests\test_pdf_processor.py,False,test_pdf_processor.py,AD/BLUO,.py,1553,1707158512.6783347,1709212633.7610314,1705332840.6609497,tests,666,True,False,C:\Users\BLUO\Downloads\report\tests\test_pdf_processor.py,{'message': 'File was not opened'}
tests\test_png_processor.py,False,test_png_processor.py,AD/BLUO,.py,1697,1707158231.684551,1709212633.766992,1705332840.6629426,tests,666,True,False,C:\Users\BLUO\Downloads\report\tests\test_png_processor.py,{'message': 'File was not opened'}
tests\test_pptx_processor.py,False,test_pptx_processor.py,AD/BLUO,.py,2901,1707158527.1946652,1709212633.7729933,1705332840.6639392,tests,666,True,False,C:\Users\BLUO\Downloads\report\tests\test_pptx_processor.py,{'message': 'File was not opened'}
tests\test_py_processor.py,False,test_py_processor.py,AD/BLUO,.py,1846,1707158517.7619386,1709212633.7789931,1705332840.665933,tests,666,True,False,C:\Users\BLUO\Downloads\report\tests\test_py_processor.py,{'message': 'File was not opened'}
tests\test_rtf_processor.py,False,test_rtf_processor.py,AD/BLUO,.py,1155,1707158522.4271755,1709212633.7848828,1705332840.6679258,tests,666,True,False,C:\Users\BLUO\Downloads\report\tests\test_rtf_processor.py,{'message': 'File was not opened'}
tests\test_tif_processor.py,False,test_tif_processor.py,AD/BLUO,.py,1513,1707158575.6925707,1709212633.7908845,1705332840.6699672,tests,666,True,False,C:\Users\BLUO\Downloads\report\tests\test_tif_processor.py,{'message': 'File was not opened'}
tests\test_transcription_decorator.py,False,test_transcription_decorator.py,AD/BLUO,.py,2925,1709209133.142469,1709231429.5168705,1705332840.6729596,tests,666,True,False,C:\Users\BLUO\Downloads\report\tests\test_transcription_decorator.py,{'message': 'File was not opened'}
tests\test_txt_processor.py,False,test_txt_processor.py,AD/BLUO,.py,1491,1707158592.6162586,1709212633.803887,1705332840.6749394,tests,666,True,False,C:\Users\BLUO\Downloads\report\tests\test_txt_processor.py,{'message': 'File was not opened'}
